Data,Hour,El_price_DAM,El_quantity,Gas_price_DAM,Gas_quantity_DAM,Inflation_RO,Inflation_EU,ROBOR 3M,Oil_price,Level_Turnu Magurele,Level_BR,Level_TL
1/1/2019,1,279,2498.3,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,2,245.54,2239.8,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,3,169.98,2092,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,4,145.52,2086.3,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,5,121,2109.7,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,6,124.33,2008,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,7,130.37,2019.2,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,8,132.69,2123.8,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,9,158.28,2129,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,10,192.12,2058,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,11,190.96,2049.3,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,12,210.36,2044.4,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,13,205.27,2078.2,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,14,191.75,2066.1,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,15,199.5,2071.8,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,16,255.79,2289.8,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,17,335.46,2749.1,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,18,343.78,2867.7,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
1/1/2019,19,335.46,2803.9,0.14,10080000,4.19,1.4,2.99,54.06,168,130,84
